key,manufacturer,ID,type,stages,ratio,mass,inertia,efficiency,direction,max_int_torque,max_cont_torque
MM_GPX12AAKLSL21D0CPLW,Maxon,GPX12AAKLSL21D0CPLW,planetary,2,20.9514170040486,0.014,6.02e-09,0.8,1,0.14,0.11
MM_GPX12AAKLSL26D0CPLW,Maxon,GPX12AAKLSL26D0CPLW,planetary,2,26.0526315789474,0.014,6.02e-09,0.8,1,0.14,0.11
MM_GPX12AAKLSL28D0CPLW,Maxon,GPX12AAKLSL28D0CPLW,planetary,2,28.1715976331361,0.014,6.02e-09,0.8,1,0.14,0.11
MM_GPX12AAKLSL35D0CPLW,Maxon,GPX12AAKLSL35D0CPLW,planetary,2,35.0307692307692,0.014,6.02e-09,0.8,1,0.14,0.11
MM_GPX12AAKLSL62D0CPLW,Maxon,GPX12AAKLSL62D0CPLW,planetary,3,61.5067794139087,0.017,6.64e-09,0.75,1,0.18,0.14
MM_GPX12AAKLSL83D0CPLW,Maxon,GPX12AAKLSL83D0CPLW,planetary,3,82.7029618580865,0.017,6.64e-09,0.75,1,0.18,0.14
MM_GPX12CAKLSL0103CPLW,Maxon,GPX12CAKLSL0103CPLW,planetary,3,102.839335180055,0.017,6.64e-09,0.75,1,0.24,0.19
MM_GPX12CAKLSL0111CPLW,Maxon,GPX12CAKLSL0111CPLW,planetary,3,111.203674867642,0.017,6.64e-09,0.75,1,0.24,0.19
MM_GPX12CAKLSL0138CPLW,Maxon,GPX12CAKLSL0138CPLW,planetary,3,138.279352226721,0.017,6.64e-09,0.75,1,0.24,0.19
MM_GPX12CAKLSL0150CPLW,Maxon,GPX12CAKLSL0150CPLW,planetary,3,149.526172052799,0.017,6.64e-09,0.75,1,0.24,0.19
MM_GPX12CAKLSL0172CPLW,Maxon,GPX12CAKLSL0172CPLW,planetary,3,171.947368421053,0.017,6.64e-09,0.75,1,0.24,0.19
MM_GPX12CAKLSL0186CPLW,Maxon,GPX12CAKLSL0186CPLW,planetary,3,185.932544378698,0.017,6.64e-09,0.75,1,0.24,0.19
MM_GPX12CAKLSL0231CPLW,Maxon,GPX12CAKLSL0231CPLW,planetary,3,231.203076923077,0.017,6.64e-09,0.75,1,0.24,0.19
MM_GPX12CAKLSL0243CPLW,Maxon,GPX12CAKLSL0243CPLW,planetary,4,242.789918739113,0.019,8.34e-09,0.65,1,0.29,0.23
MM_GPX12CAKLSL0326CPLW,Maxon,GPX12CAKLSL0326CPLW,planetary,4,326.459059966131,0.019,8.34e-09,0.65,1,0.29,0.23
MM_GPX12CAKLSL03D9CPLW,Maxon,GPX12CAKLSL03D9CPLW,planetary,1,3.94736842105263,0.011,5.78e-09,0.9,1,0.15,0.11
MM_GPX12CAKLSL0406CPLW,Maxon,GPX12CAKLSL0406CPLW,planetary,4,405.944744131798,0.019,8.34e-09,0.65,1,0.29,0.23
MM_GPX12CAKLSL0439CPLW,Maxon,GPX12CAKLSL0439CPLW,planetary,4,438.961874477536,0.019,8.34e-09,0.65,1,0.29,0.23
MM_GPX12CAKLSL0546CPLW,Maxon,GPX12CAKLSL0546CPLW,planetary,4,545.839548263371,0.019,8.34e-09,0.65,1,0.29,0.23
MM_GPX12CAKLSL0590CPLW,Maxon,GPX12CAKLSL0590CPLW,planetary,4,590.234889682102,0.019,8.34e-09,0.65,1,0.29,0.23
MM_GPX12CAKLSL05D3CPLW,Maxon,GPX12CAKLSL05D3CPLW,planetary,1,5.30769230769231,0.011,5.78e-09,0.9,1,0.15,0.11
MM_GPX12CAKLSL0679CPLW,Maxon,GPX12CAKLSL0679CPLW,planetary,4,678.739612188366,0.019,8.34e-09,0.65,1,0.29,0.23
MM_GPX12CAKLSL0734CPLW,Maxon,GPX12CAKLSL0734CPLW,planetary,4,733.94425412644,0.019,8.34e-09,0.65,1,0.29,0.23
MM_GPX12CAKLSL0794CPLW,Maxon,GPX12CAKLSL0794CPLW,planetary,4,793.638913203319,0.019,8.34e-09,0.65,1,0.29,0.23
